totalPathLength(m),timeDelay(ns),impulseResponse(dBm),waveEmissionAzimuth(rad),waveEmissionElevationAngle(rad),waveReachingAzimuth(rad),waveReachingElevationAngle(rad)
0,0,-47.09446252263568,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-46.28655088749596,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-45.263642727863925,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-34.89053063565001,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-35.01216729775,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.44215994582461,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-54.743933590402634,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-52.84975265416227,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-51.779798313808726,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-51.37412808664935,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-41.578166472349224,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-53.54355365228683,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-50.44769185937518,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.459037644709426,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-68.32348141299525,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-52.00530461458945,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-65.80507320975633,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-58.657940492731456,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-58.40316855068956,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.4801288085292,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.16807218320501,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-56.98435861867058,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-57.441323079457575,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-53.128029416272,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-63.83359389630152,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-59.262647290628564,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-759.5975459784366,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-701.7105783987392,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-98.77431299277168,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-76.20780230661853,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-89.42035239109606,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-79.3355056851272,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-67.77368736170469,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-72.84373856456433,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-60.190202864018914,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-712.6553355696093,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-711.327720528297,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-831.3266103536575,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-707.8419444419144,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-768.2364615117688,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-767.5016359999663,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-762.5779541489945,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-763.4311416949569,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-706.2327536253043,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-710.7809798688293,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-705.1140655565307,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318
0,0,-705.2722719146816,6.9518316026172e-310,4.243991582e-314,6.9518316061003e-310,6.793363e-318