x,y,z
20,20,0
0,20,0
0,0,0
20,0,0
9.5,17.5,1.20000004768372
7,17.5,1.20000004768372
7,16,1.20000004768372
20,0,3
0,0,3
0,20,3
20,20,3
1.79999995231628,14.6999998092651,3
0.400000005960464,14.6999998092651,0
1.79999995231628,14.6999998092651,0
0.400000005960464,14.6999998092651,3
0.400000005960464,5.30000019073486,3
0.400000005960464,5.30000019073486,0
1.79999995231628,5.30000019073486,3
1.79999995231628,5.30000019073486,0
1.79999995231628,5.25,3
1.79999995231628,5.25,0
1.79999995231628,5.05000019073486,0
1.79999995231628,5,3
1.79999995231628,5,0
1.79999995231628,5.05000019073486,3
0.400000005960464,5,0
0.400000005960464,5,3
0.400000005960464,0.400000005960464,3
0.400000005960464,0.400000005960464,0
9.85000038146973,0.400000005960464,0
9.85000038146973,0.400000005960464,3
9.85000038146973,5,3
9.85000038146973,5,0
3,5,0
3,5,3
3,5.05000019073486,3
3,5.05000019073486,0
3,5.25,3
3,5.30000019073486,3
3,5.25,0
3,5.30000019073486,0
17,5.30000019073486,0
17,5.30000019073486,3
17,5.25,3
17,5.25,0
17,5.05000019073486,0
17,5,3
17,5,0
17,5.05000019073486,3
10.1499996185303,5,0
10.1499996185303,5,3
19.6000003814697,0.400000005960464,0
10.1499996185303,0.400000005960464,0
10.1499996185303,0.400000005960464,3
19.6000003814697,5,3
19.6000003814697,5,0
19.6000003814697,0.400000005960464,3
18.2000007629395,5,0
18.2000007629395,5,3
18.2000007629395,5.05000019073486,3
18.2000007629395,5.05000019073486,0
18.2000007629395,5.25,3
18.2000007629395,5.30000019073486,3
18.2000007629395,5.25,0
19.6000003814697,5.30000019073486,0
18.2000007629395,5.30000019073486,0
19.6000003814697,5.30000019073486,3
19.6000003814697,14.6999998092651,3
19.6000003814697,14.6999998092651,0
18.2000007629395,14.6999998092651,0
18.2000007629395,14.6999998092651,3
18.2000007629395,14.75,3
18.2000007629395,14.75,0
18.2000007629395,14.9499998092651,3
18.2000007629395,15,3
18.2000007629395,14.9499998092651,0
18.2000007629395,15,0
19.6000003814697,15,0
19.6000003814697,15,3
19.6000003814697,19.6000003814697,3
19.6000003814697,19.6000003814697,0
10.1499996185303,19.6000003814697,0
10.1499996185303,19.6000003814697,3
10.1499996185303,15,3
10.1499996185303,15,0
17,15,0
17,15,3
17,14.9499998092651,3
17,14.9499998092651,0
3,14.6999998092651,0
17,14.6999998092651,0
17,14.6999998092651,3
17,14.75,0
17,14.75,3
3,14.6999998092651,3
9.85000038146973,19.6000003814697,3
9.85000038146973,15,0
9.85000038146973,15,3
3,14.75,3
3,14.75,0
3,14.9499998092651,3
3,15,3
3,14.9499998092651,0
3,15,0
9.85000038146973,19.6000003814697,0
0.400000005960464,19.6000003814697,0
0.400000005960464,19.6000003814697,3
0.400000005960464,15,3
1.79999995231628,15,0
0.400000005960464,15,0
1.79999995231628,15,3
1.79999995231628,14.9499998092651,3
1.79999995231628,14.9499998092651,0
1.79999995231628,14.75,0
1.79999995231628,14.75,3
14.5,11,1.20000004768372
14.5,11,0
7,11,0
14.5,9,1.20000004768372
14.5,9,0
7,9,1.20000004768372
7,9,0
7,11,1.20000004768372
17.2000007629395,11.5,3
17.2000007629395,13.1999998092651,0
17.2000007629395,11.5,0
17.2000007629395,13.1999998092651,3
6.19999980926514,13.1999998092651,3
6.19999980926514,13.1999998092651,0
6.19999980926514,13.25,0
6.19999980926514,13.25,3
6.19999980926514,13.4499998092651,3
6.19999980926514,13.5,3
6.19999980926514,13.5,0
6.19999980926514,13.4499998092651,0
17.5,13.5,3
17.5,13.5,0
17.5,11.5,3
17.5,11.5,0
17.4500007629395,11.5,3
17.4500007629395,11.5,0
2.5,6.5,3
2.5,13.5,0
2.5,6.5,0
17.25,11.5,0
2.5,13.5,3
5,13.5,3
5,13.5,0
5,13.4499998092651,3
5,13.4499998092651,0
5,13.25,3
5,13.1999998092651,3
5,13.1999998092651,0
5,13.25,0
17.25,11.5,3
2.79999995231628,13.1999998092651,3
2.79999995231628,13.1999998092651,0
2.79999995231628,12.5,3
2.79999995231628,12.5,0
2.79999995231628,7.5,3
2.79999995231628,7.5,0.200000002980232
2.79999995231628,6.80000019073486,3
2.79999995231628,6.80000019073486,0
2.79999995231628,12.5,0.200000002980232
2.79999995231628,7.5,0
5,6.80000019073486,3
5,6.80000019073486,0
5,6.75,3
5,6.75,0
5,6.55000019073486,3
5,6.5,3
5,6.5,0
5,6.55000019073486,0
17.5,8.5,3
17.5,6.5,3
17.5,6.5,0
17.5,8.5,0
6.19999980926514,6.5,3
6.19999980926514,6.5,0
6.19999980926514,6.55000019073486,0
6.19999980926514,6.55000019073486,3
6.19999980926514,6.75,3
6.19999980926514,6.80000019073486,0
6.19999980926514,6.75,0
6.19999980926514,6.80000019073486,3
17.2000007629395,6.80000019073486,3
17.2000007629395,6.80000019073486,0
17.2000007629395,8.5,0
17.2000007629395,8.5,3
17.25,8.5,3
17.25,8.5,0
9.5,4,1.20000004768372
7,4,1.20000004768372
7,2.5,1.20000004768372
17.4500007629395,8.5,0
17.4500007629395,8.5,3
9.5,2.5,1.20000004768372
7,2.5,0
9.5,2.5,0
7,4,0
9.5,4,0
13,17.5,1.20000004768372
10.5,17.5,1.20000004768372
10.5,16,1.20000004768372
13,16,1.20000004768372
10.5,16,0
13,16,0
10.5,17.5,0
13,17.5,0
9.5,16,1.20000004768372
7,16,0
9.5,16,0
7,17.5,0
13,4,1.20000004768372
13,4,0
10.5,4,0
9.5,17.5,0
13,2.5,0
10.5,2.5,1.20000004768372
10.5,2.5,0
10.5,4,1.20000004768372
13,2.5,1.20000004768372
1.20000004768372,18.7999992370605,2
1.20000004768372,18.7999992370605,0
1.20000004768372,19.5,2
19.5,1.20000004768372,2
18.7999992370605,1.20000004768372,2
18.7999992370605,0.5,2
19.5,0.5,2
19.5,0.5,0
19.5,1.20000004768372,0
18.7999992370605,0.5,0
18.7999992370605,1.20000004768372,0
1.20000004768372,1.20000004768372,2
0.5,1.20000004768372,2
0.5,0.5,2
1.20000004768372,0.5,2
0.5,0.5,0
1.20000004768372,0.5,0
0.5,1.20000004768372,0
1.20000004768372,1.20000004768372,0
0.5,19.5,2
0.5,18.7999992370605,2
0.5,19.5,0
0.5,18.7999992370605,0
1.20000004768372,19.5,0
18.7999992370605,18.7999992370605,2
19.5,18.7999992370605,2
18.7999992370605,19.5,2
19.5,19.5,2
18.7999992370605,19.5,0
18.7999992370605,18.7999992370605,0
19.5,19.5,0
19.5,18.7999992370605,0
12.5,18.6000003814697,0.600000023841858
11,18.6000003814697,0.600000023841858
11,17.7999992370605,0.600000023841858
12.5,17.7999992370605,0.600000023841858
12.5,17.7999992370605,0
11,18.6000003814697,0
12.5,18.6000003814697,0
11,17.7999992370605,0
9,18.6000003814697,0.600000023841858
7.5,18.6000003814697,0.600000023841858
7.5,17.7999992370605,0.600000023841858
9,17.7999992370605,0.600000023841858
9,17.7999992370605,0
9,18.6000003814697,0
7.5,18.6000003814697,0
7.5,17.7999992370605,0
7.5,1.39999997615814,0.600000023841858
9,2.20000004768372,0.600000023841858
7.5,2.20000004768372,0.600000023841858
9,1.39999997615814,0.600000023841858
9,2.20000004768372,0
7.5,2.20000004768372,0
9,1.39999997615814,0
7.5,1.39999997615814,0
12.5,2.20000004768372,0.600000023841858
11,2.20000004768372,0.600000023841858
11,1.39999997615814,0.600000023841858
12.5,1.39999997615814,0.600000023841858
11,1.39999997615814,0
12.5,1.39999997615814,0
11,2.20000004768372,0
12.5,2.20000004768372,0
13.1999998092651,7.90000009536743,0.600000023841858
14.1999998092651,8.69999980926514,0.600000023841858
13.1999998092651,8.69999980926514,0.600000023841858
12.6999998092651,11.3000001907349,0
12.6999998092651,11.3000001907349,0.600000023841858
11.6999998092651,11.3000001907349,0.600000023841858
14.1999998092651,7.90000009536743,0.600000023841858
14.1999998092651,8.69999980926514,0
13.1999998092651,8.69999980926514,0
14.1999998092651,7.90000009536743,0
13.1999998092651,7.90000009536743,0
11.1999998092651,7.90000009536743,0.600000023841858
10.1999998092651,7.90000009536743,0
11.1999998092651,7.90000009536743,0
13.1999998092651,12.1000003814697,0
13.1999998092651,12.1000003814697,0.600000023841858
14.1999998092651,12.1000003814697,0.600000023841858
10.1999998092651,8.69999980926514,0.600000023841858
10.1999998092651,7.90000009536743,0.600000023841858
11.1999998092651,8.69999980926514,0.600000023841858
10.1999998092651,8.69999980926514,0
11.1999998092651,8.69999980926514,0
12.6999998092651,7.90000009536743,0.600000023841858
11.6999998092651,8.69999980926514,0.600000023841858
11.6999998092651,7.90000009536743,0.600000023841858
12.6999998092651,8.69999980926514,0.600000023841858
11.6999998092651,7.90000009536743,0
12.6999998092651,7.90000009536743,0
11.6999998092651,8.69999980926514,0
12.6999998092651,8.69999980926514,0
9.69999980926514,8.69999980926514,0.600000023841858
8.69999980926514,8.69999980926514,0.600000023841858
8.69999980926514,7.90000009536743,0.600000023841858
9.69999980926514,7.90000009536743,0.600000023841858
8.69999980926514,7.90000009536743,0
9.69999980926514,7.90000009536743,0
8.69999980926514,8.69999980926514,0
9.69999980926514,8.69999980926514,0
8.19999980926514,8.69999980926514,0.600000023841858
7.19999980926514,8.69999980926514,0.600000023841858
7.19999980926514,7.90000009536743,0.600000023841858
8.19999980926514,7.90000009536743,0.600000023841858
8.19999980926514,7.90000009536743,0
7.19999980926514,7.90000009536743,0
7.19999980926514,8.69999980926514,0
8.19999980926514,12.1000003814697,0.600000023841858
7.19999980926514,11.3000001907349,0.600000023841858
8.19999980926514,11.3000001907349,0.600000023841858
8.19999980926514,8.69999980926514,0
7.19999980926514,12.1000003814697,0.600000023841858
9.69999980926514,12.1000003814697,0.600000023841858
8.69999980926514,11.3000001907349,0.600000023841858
9.69999980926514,11.3000001907349,0.600000023841858
7.19999980926514,12.1000003814697,0
7.19999980926514,11.3000001907349,0
8.19999980926514,11.3000001907349,0
8.19999980926514,12.1000003814697,0
8.69999980926514,12.1000003814697,0
8.69999980926514,11.3000001907349,0
8.69999980926514,12.1000003814697,0.600000023841858
9.69999980926514,12.1000003814697,0
9.69999980926514,11.3000001907349,0
11.1999998092651,12.1000003814697,0.600000023841858
10.1999998092651,12.1000003814697,0.600000023841858
10.1999998092651,11.3000001907349,0.600000023841858
10.1999998092651,11.3000001907349,0
11.1999998092651,11.3000001907349,0
11.1999998092651,11.3000001907349,0.600000023841858
10.1999998092651,12.1000003814697,0
11.1999998092651,12.1000003814697,0
12.6999998092651,12.1000003814697,0.600000023841858
11.6999998092651,12.1000003814697,0.600000023841858
11.6999998092651,11.3000001907349,0
11.6999998092651,12.1000003814697,0
12.6999998092651,12.1000003814697,0
13.1999998092651,11.3000001907349,0.600000023841858
14.1999998092651,11.3000001907349,0.600000023841858
14.1999998092651,12.1000003814697,0
14.1999998092651,11.3000001907349,0
13.1999998092651,11.3000001907349,0
5,12.5,0.200000002980232
5,12.5,0
5,7.5,0.200000002980232
5,7.5,0